name,description,category,primary_muscle,secondary_muscle,tertiary_muscle,equipment_needed,difficulty_level,instructions
"Machine Rear Delt Fly","Rear deltoid machine","Machine","Rear Deltoids","Rhomboids","Middle Trapezius","Rear Delt Machine","Beginner","Sit facing backward, pull handles apart"
"Cable Internal Rotation","Shoulder internal rotation","Machine","Rotator Cuff","Front Deltoids","Middle Chest","Cable Machine","Beginner","Rotate arm inward against cable"
"Cable External Rotation","Shoulder external rotation","Machine","Rotator Cuff","Rear Deltoids","Middle Trapezius","Cable Machine","Beginner","Rotate arm outward against cable"
"Pulley System Face Pull","High pulley face pull","Machine","Rear Deltoids","Rhomboids","Middle Trapezius","Pulley System","Intermediate","Pull high pulley to face level"
"Low Row Machine","Low rowing machine","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Low Row Machine","Beginner","Sit at machine, row handles to chest"
"High Row Machine","High rowing machine","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","High Row Machine","Beginner","Sit at machine, row handles to upper chest"
"Wide Grip Lat Pulldown","Wide grip vertical pull","Machine","Latissimus Dorsi","Rhomboids","Biceps","Lat Pulldown Machine","Beginner","Pull wide bar down to chest"
"Close Grip Lat Pulldown","Close grip vertical pull","Machine","Latissimus Dorsi","Biceps","Rhomboids","Lat Pulldown Machine","Beginner","Pull close grip bar to chest"
"V-Bar Lat Pulldown","V-shaped handle pulldown","Machine","Latissimus Dorsi","Biceps","Rhomboids","Lat Pulldown Machine","Beginner","Pull V-bar down to chest"
"Cable Pulldown","Cable version of lat pulldown","Machine","Latissimus Dorsi","Biceps","Rhomboids","Cable Machine","Beginner","Pull cable down to chest from high position"
"Machine Pullover","Lat pullover on machine","Machine","Latissimus Dorsi","Middle Chest","Serratus Anterior","Pullover Machine","Intermediate","Sit in machine, pull bar down and back"
"Cable Pullover","Pullover using cable machine","Machine","Latissimus Dorsi","Middle Chest","Serratus Anterior","Cable Machine","Intermediate","Pull cable from high to low position"
"Straight Arm Pulldown","Lat exercise with straight arms","Machine","Latissimus Dorsi","Rear Deltoids","Serratus Anterior","Cable Machine","Intermediate","Pull cable down with straight arms"
"Cable Straight Arm Pullback","Rear delt exercise with cable","Machine","Rear Deltoids","Latissimus Dorsi","Rhomboids","Cable Machine","Intermediate","Pull cable back with straight arms"
"Machine Row","Generic rowing machine","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Rowing Machine","Beginner","Sit at machine, row handles to body"
"Hammer Strength Row","Plate-loaded rowing machine","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Hammer Strength Machine","Intermediate","Sit at machine, row handles alternately"
"Lever Row","Lever-based rowing machine","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Lever Row Machine","Beginner","Sit at machine, pull lever to chest"
"Cable One-Arm Row","Single arm row with cable","Machine","Latissimus Dorsi","Rhomboids","Rear Deltoids","Cable Machine","Beginner","Single arm rowing motion with cable"
"Machine Chest Fly","Chest fly on machine","Machine","Middle Chest","Front Deltoids","Serratus Anterior","Chest Fly Machine","Beginner","Sit in machine, bring handles together"
"Incline Machine Fly","Incline chest fly machine","Machine","Upper Chest","Front Deltoids","Serratus Anterior","Incline Fly Machine","Beginner","Sit in inclined machine, bring handles together"
"Decline Machine Fly","Decline chest fly machine","Machine","Lower Chest","Front Deltoids","Triceps","Decline Fly Machine","Beginner","Sit in declined machine, bring handles together"
"Cable Crossover","Cable chest crossover","Machine","Middle Chest","Front Deltoids","Serratus Anterior","Cable Machine","Intermediate","Cross cables at chest level"
"High Cable Crossover","High cable chest crossover","Machine","Lower Chest","Front Deltoids","Triceps","Cable Machine","Intermediate","Pull cables down and across"
"Low Cable Crossover","Low cable chest crossover","Machine","Upper Chest","Front Deltoids","Serratus Anterior","Cable Machine","Intermediate","Pull cables up and across"
"Machine Tricep Dip","Tricep dip on machine","Machine","Triceps","Lower Chest","Front Deltoids","Tricep Dip Machine","Beginner","Sit in machine, perform dips"
"Cable Tricep Kickback","Tricep kickback with cable","Machine","Triceps","Rear Deltoids","Forearms","Cable Machine","Beginner","Bend over, extend cable back"
"Cable Overhead Tricep Press","Overhead tricep press with cable","Machine","Triceps","Front Deltoids","Upper Abdominals","Cable Machine","Intermediate","Press cable overhead from behind head"
"Rope Tricep Pushdown","Tricep pushdown with rope","Machine","Triceps","Forearms","Front Deltoids","Cable Machine","Beginner","Push rope down separating at bottom"
"V-Bar Tricep Pushdown","Tricep pushdown with V-bar","Machine","Triceps","Forearms","Front Deltoids","Cable Machine","Beginner","Push V-bar down with both hands"
"Straight Bar Tricep Pushdown","Tricep pushdown with straight bar","Machine","Triceps","Forearms","Front Deltoids","Cable Machine","Beginner","Push straight bar down"
"Reverse Grip Tricep Pushdown","Underhand tricep pushdown","Machine","Triceps","Biceps","Forearms","Cable Machine","Beginner","Push bar down with underhand grip"
"Machine Tricep Extension","Tricep extension machine","Machine","Triceps","Rear Deltoids","Forearms","Tricep Extension Machine","Beginner","Sit in machine, extend arms"
"Bodyweight Squat","Basic squatting movement","Bodyweight","Quadriceps","Glutes","Hamstrings","None","Beginner","Squat down keeping chest up, drive through heels"
"Push-Up","Classic upper body exercise","Bodyweight","Middle Chest","Triceps","Front Deltoids","None","Beginner","Lower chest to floor, push back up"
"Pull-Up","Vertical pulling exercise","Bodyweight","Latissimus Dorsi","Biceps","Rhomboids","Pull-up Bar","Advanced","Hang from bar, pull body up"
"Dip","Tricep and chest exercise","Bodyweight","Triceps","Lower Chest","Front Deltoids","Dip Bars","Intermediate","Lower body between bars, push back up"
"Lunge","Single-leg exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Beginner","Step forward into lunge, return to start"
"Plank","Core stability exercise","Bodyweight","Upper Abdominals","Transverse Abdominis","Front Deltoids","None","Beginner","Hold straight body position on forearms"
"Burpee","Full-body explosive movement","Bodyweight","Quadriceps","Middle Chest","Front Deltoids","None","Advanced","Squat, jump back, push-up, jump forward, jump up"
"Mountain Climber","Dynamic core exercise","Bodyweight","Upper Abdominals","Hip Flexors","Front Deltoids","None","Intermediate","Plank position, alternate bringing knees to chest"
"Jumping Jack","Cardiovascular exercise","Bodyweight","Calves","Side Deltoids","Hip Abductors","None","Beginner","Jump feet apart while raising arms overhead"
"High Knees","Dynamic leg exercise","Bodyweight","Hip Flexors","Quadriceps","Calves","None","Beginner","Run in place bringing knees high"
"Butt Kicks","Dynamic hamstring exercise","Bodyweight","Hamstrings","Calves","Hip Flexors","None","Beginner","Run in place kicking heels to glutes"
"Jump Squat","Explosive squat movement","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Squat down, explode up jumping"
"Single-Leg Squat","Unilateral squat exercise","Bodyweight","Quadriceps","Glutes","Upper Abdominals","None","Advanced","Squat on one leg, other leg extended"
"Pistol Squat","Advanced single-leg squat","Bodyweight","Quadriceps","Glutes","Upper Abdominals","None","Advanced","Full range single-leg squat"
"Wall Sit","Isometric squat exercise","Bodyweight","Quadriceps","Glutes","Upper Abdominals","Wall","Beginner","Sit against wall in squat position"
"Calf Raise","Standing calf exercise","Bodyweight","Calves","Hip Flexors","Upper Abdominals","None","Beginner","Rise up on toes, lower slowly"
"Single-Leg Calf Raise","Unilateral calf exercise","Bodyweight","Calves","Upper Abdominals","Hip Flexors","None","Intermediate","Calf raise on one leg"
"Glute Bridge","Hip extension exercise","Bodyweight","Glutes","Hamstrings","Upper Abdominals","None","Beginner","Lie on back, bridge hips up"
"Single-Leg Glute Bridge","Unilateral glute exercise","Bodyweight","Glutes","Hamstrings","Upper Abdominals","None","Intermediate","Bridge on one leg"
"Hip Thrust","Glute exercise against bench","Bodyweight","Glutes","Hamstrings","Upper Abdominals","Bench","Intermediate","Back against bench, thrust hips up"
"Reverse Lunge","Backward stepping lunge","Bodyweight","Quadriceps","Glutes","Hamstrings","None","Beginner","Step back into lunge"
"Side Lunge","Lateral lunge movement","Bodyweight","Quadriceps","Glutes","Hip Adductors","None","Beginner","Step to side into lunge"
"Curtsy Lunge","Cross-behind lunge","Bodyweight","Quadriceps","Glutes","Hip Adductors","None","Intermediate","Step back and across"
"Walking Lunge","Dynamic lunge movement","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Lunge forward alternating legs"
"Jump Lunge","Explosive lunge variation","Bodyweight","Quadriceps","Glutes","Calves","None","Advanced","Switch legs mid-air in lunge position"
"Step-Up","Single-leg step exercise","Bodyweight","Quadriceps","Glutes","Calves","Platform","Beginner","Step up onto platform"
"Box Jump","Explosive jumping exercise","Bodyweight","Quadriceps","Glutes","Calves","Box","Advanced","Jump up onto box"
"Broad Jump","Horizontal jumping exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump forward as far as possible"
"Vertical Jump","Vertical jumping exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump straight up as high as possible"
"Tuck Jump","Knee-to-chest jump","Bodyweight","Quadriceps","Hip Flexors","Calves","None","Advanced","Jump bringing knees to chest"
"Star Jump","Explosive jumping jack variation","Bodyweight","Quadriceps","Side Deltoids","Hip Abductors","None","Intermediate","Jump spreading arms and legs wide"
"Squat Jump","Explosive squat variation","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump from squat position"
"Split Jump","Alternating lunge jump","Bodyweight","Quadriceps","Glutes","Calves","None","Advanced","Jump switching lunge positions"
"Lateral Bound","Side-to-side jumping","Bodyweight","Quadriceps","Glutes","Hip Abductors","None","Advanced","Jump laterally from leg to leg"
"Single-Leg Hop","Unilateral hopping exercise","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Hop on one leg"
"Diamond Push-Up","Tricep-focused push-up","Bodyweight","Triceps","Upper Chest","Front Deltoids","None","Advanced","Push-up with hands in diamond shape"
"Wide Push-Up","Chest-focused push-up","Bodyweight","Middle Chest","Front Deltoids","Triceps","None","Intermediate","Push-up with wide hand placement"
"Decline Push-Up","Elevated feet push-up","Bodyweight","Upper Chest","Front Deltoids","Triceps","Platform","Advanced","Push-up with feet elevated"
"Incline Push-Up","Elevated hands push-up","Bodyweight","Lower Chest","Triceps","Front Deltoids","Platform","Beginner","Push-up with hands elevated"
"Pike Push-Up","Shoulder-focused push-up","Bodyweight","Front Deltoids","Triceps","Upper Chest","None","Advanced","Push-up in pike position"
"Hindu Push-Up","Dynamic push-up variation","Bodyweight","Middle Chest","Front Deltoids","Triceps","None","Advanced","Flow from plank to downward dog"
"Archer Push-Up","Single-arm focused push-up","Bodyweight","Middle Chest","Triceps","Front Deltoids","None","Advanced","Push-up shifting weight to one arm"
"One-Arm Push-Up","Single-arm push-up","Bodyweight","Middle Chest","Triceps","Upper Abdominals","None","Advanced","Push-up using only one arm"
"Clapping Push-Up","Explosive push-up","Bodyweight","Middle Chest","Triceps","Front Deltoids","None","Advanced","Push-up with explosive clap"
"Spiderman Push-Up","Push-up with knee drive","Bodyweight","Middle Chest","Upper Abdominals","Hip Flexors","None","Advanced","Push-up bringing knee to elbow"
"T-Push-Up","Push-up with rotation","Bodyweight","Middle Chest","Upper Abdominals","Front Deltoids","None","Advanced","Push-up rotating to T position"
"Staggered Push-Up","Uneven hand placement push-up","Bodyweight","Middle Chest","Triceps","Front Deltoids","None","Intermediate","Push-up with hands at different levels"
"Pseudo Planche Push-Up","Advanced strength push-up","Bodyweight","Middle Chest","Front Deltoids","Triceps","None","Advanced","Push-up with hands by ribs"
"Handstand Push-Up","Inverted shoulder press","Bodyweight","Front Deltoids","Triceps","Upper Chest","Wall","Advanced","Press up from handstand position"
"Chin-Up","Underhand pull-up","Bodyweight","Biceps","Latissimus Dorsi","Rhomboids","Pull-up Bar","Advanced","Pull up with underhand grip"
"Wide-Grip Pull-Up","Wide grip vertical pull","Bodyweight","Latissimus Dorsi","Rhomboids","Biceps","Pull-up Bar","Advanced","Pull up with wide grip"
"Close-Grip Pull-Up","Narrow grip pull-up","Bodyweight","Biceps","Latissimus Dorsi","Rhomboids","Pull-up Bar","Advanced","Pull up with close grip"
"Neutral Grip Pull-Up","Parallel grip pull-up","Bodyweight","Brachialis","Latissimus Dorsi","Biceps","Pull-up Bar","Advanced","Pull up with palms facing each other"
"Commando Pull-Up","Alternating side pull-up","Bodyweight","Latissimus Dorsi","Biceps","Upper Abdominals","Pull-up Bar","Advanced","Pull up alternating sides of bar"
"L-Sit Pull-Up","Pull-up holding L-sit","Bodyweight","Latissimus Dorsi","Lower Abdominals","Hip Flexors","Pull-up Bar","Advanced","Pull up while holding legs horizontal"
"Muscle-Up","Pull-up to dip transition","Bodyweight","Latissimus Dorsi","Triceps","Front Deltoids","Pull-up Bar","Advanced","Pull up and transition to dip"
"Typewriter Pull-Up","Side-to-side pull-up","Bodyweight","Latissimus Dorsi","Biceps","Rhomboids","Pull-up Bar","Advanced","Pull up shifting side to side"
"One-Arm Pull-Up","Single-arm vertical pull","Bodyweight","Latissimus Dorsi","Biceps","Upper Abdominals","Pull-up Bar","Advanced","Pull up using one arm"
"Archer Pull-Up","Single-arm focused pull-up","Bodyweight","Latissimus Dorsi","Biceps","Rhomboids","Pull-up Bar","Advanced","Pull up focusing on one arm"
"Australian Pull-Up","Inverted row","Bodyweight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Bar","Intermediate","Pull body up from under bar"
"Inverted Row","Horizontal bodyweight pull","Bodyweight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Bar","Intermediate","Pull chest to bar from underneath"
"Ring Row","Row using suspension rings","Bodyweight","Latissimus Dorsi","Rhomboids","Rear Deltoids","Rings","Intermediate","Row using gymnastic rings"
"TRX Row","Suspension trainer row","Bodyweight","Latissimus Dorsi","Rhomboids","Rear Deltoids","TRX","Intermediate","Row using TRX straps"
"Tricep Dip","Parallel bar dip","Bodyweight","Triceps","Lower Chest","Front Deltoids","Dip Bars","Intermediate","Lower between bars, push up"
"Bench Dip","Dip using bench","Bodyweight","Triceps","Lower Chest","Front Deltoids","Bench","Beginner","Dip with hands on bench behind you"
"Chair Dip","Dip using chair","Bodyweight","Triceps","Lower Chest","Front Deltoids","Chair","Beginner","Dip with hands on chair"
"Ring Dip","Dip using gymnastic rings","Bodyweight","Triceps","Lower Chest","Upper Abdominals","Rings","Advanced","Dip using unstable rings"
"Korean Dip","Deep dip variation","Bodyweight","Triceps","Lower Chest","Front Deltoids","Dip Bars","Advanced","Dip with deeper range of motion"
"Straight Bar Dip","Dip on single bar","Bodyweight","Triceps","Lower Chest","Front Deltoids","Straight Bar","Advanced","Dip supporting body on single bar"
"Russian Dip","Dip with forward lean","Bodyweight","Triceps","Lower Chest","Front Deltoids","Dip Bars","Advanced","Dip leaning forward"
"Weighted Dip","Dip with added weight","Bodyweight","Triceps","Lower Chest","Front Deltoids","Dip Belt","Advanced","Dip with weight belt"
"L-Sit","Core isometric hold","Bodyweight","Lower Abdominals","Hip Flexors","Front Deltoids","Parallel Bars","Advanced","Hold body with legs horizontal"
"V-Sit","Core strengthening hold","Bodyweight","Lower Abdominals","Hip Flexors","Upper Abdominals","None","Advanced","Balance on tailbone with legs up"
"Hollow Body Hold","Core stability exercise","Bodyweight","Lower Abdominals","Hip Flexors","Upper Abdominals","None","Intermediate","Hold hollow position on back"
"Dead Bug","Core stability exercise","Bodyweight","Upper Abdominals","Hip Flexors","Transverse Abdominis","None","Beginner","Lie on back, opposite arm and leg movements"
"Bird Dog","Core and stability exercise","Bodyweight","Upper Abdominals","Glutes","Rear Deltoids","None","Beginner","On hands and knees, extend opposite limbs"
"Superman","Lower back strengthening","Bodyweight","Erector Spinae","Glutes","Rear Deltoids","None","Beginner","Lie face down, lift chest and legs"
"Reverse Plank","Posterior chain plank","Bodyweight","Glutes","Hamstrings","Rear Deltoids","None","Intermediate","Plank facing up"
"Side Plank","Lateral core stability","Bodyweight","Obliques","Transverse Abdominis","Side Deltoids","None","Intermediate","Plank on side"
"Plank Up-Down","Dynamic plank variation","Bodyweight","Upper Abdominals","Front Deltoids","Triceps","None","Intermediate","Move from plank to forearm plank"
"Plank Jack","Plank with jumping feet","Bodyweight","Upper Abdominals","Front Deltoids","Hip Abductors","None","Advanced","Jump feet apart and together in plank"
"Plank to Pike","Dynamic plank movement","Bodyweight","Upper Abdominals","Front Deltoids","Hip Flexors","None","Intermediate","Move from plank to pike position"
"Bear Crawl","Quadrupedal movement","Bodyweight","Upper Abdominals","Front Deltoids","Quadriceps","None","Intermediate","Crawl on hands and feet"
"Crab Walk","Reverse quadrupedal movement","Bodyweight","Glutes","Triceps","Rear Deltoids","None","Intermediate","Walk on hands and feet facing up"
"Duck Walk","Low squat walking","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Walk in deep squat position"
"Frog Jump","Explosive forward jumping","Bodyweight","Quadriceps","Glutes","Calves","None","Intermediate","Jump forward in squat position"
"Lizard Crawl","Low crawling movement","Bodyweight","Upper Abdominals","Front Deltoids","Hip Flexors","None","Advanced","Crawl with body low to ground"
"Shrimp Squat","Advanced single-leg squat","Bodyweight","Quadriceps","Glutes","Upper Abdominals","None","Advanced","Single-leg squat holding other leg"
"Dragon Squat","Single-leg squat variation","Bodyweight","Quadriceps","Glutes","Upper Abdominals","None","Advanced","Single-leg squat with leg behind"
"Cossack Squat","Lateral single-leg squat","Bodyweight","Quadriceps","Glutes","Hip Adductors","None","Advanced","Deep lateral squat"
"Archer Squat","Single-leg focused squat","Bodyweight","Quadriceps","Glutes","Hip Adductors","None","Advanced","Squat shifting weight to one leg"
"Shrimp Pistol Squat","Combined advanced squat","Bodyweight","Quadriceps","Glutes","Upper Abdominals","None","Advanced","Single-leg squat holding foot behind"
"Wall Handstand","Inverted hold against wall","Bodyweight","Front Deltoids","Upper Abdominals","Triceps","Wall","Advanced","Hold handstand against wall"
"Freestanding Handstand","Inverted hold without support","Bodyweight","Front Deltoids","Upper Abdominals","Forearms","None","Advanced","Hold handstand without support"
"Crow Pose","Arm balancing pose","Bodyweight","Front Deltoids","Upper Abdominals","Triceps","None","Advanced","Balance on hands with knees on arms"
"Front Lever","Advanced pulling hold","Bodyweight","Latissimus Dorsi","Lower Abdominals","Rear Deltoids","Pull-up Bar","Advanced","Hold body horizontal from bar"
"Back Lever","Advanced pushing hold","Bodyweight","Middle Chest","Front Deltoids","Upper Abdominals","Rings","Advanced","Hold body horizontal behind rings"
"Human Flag","Lateral strength hold","Bodyweight","Obliques","Latissimus Dorsi","Side Deltoids","Vertical Pole","Advanced","Hold body horizontal on pole"
"Planche","Advanced pushing hold","Bodyweight","Front Deltoids","Triceps","Upper Abdominals","None","Advanced","Hold body horizontal on hands"
